,rho_0,xi,gamma,log10(zeta),num_stiff,material,eig_FEA,eig_CF,time
0,1.692681,0.995902,1.105273,-2.890896,1,metal,7.438578,6.090191,13.410146
0,1.371341,0.995902,1.105272,-2.890896,1,metal,8.468049,6.090191,14.261161
0,1.111003,0.995902,1.105272,-2.890896,1,metal,10.379798,6.090191,13.488662
0,0.900088,0.995902,1.105272,-2.890896,1,metal,13.587836,7.517288,14.241270
0,0.729228,0.987022,1.105396,-2.890896,2,metal,22.098897,11.424821,41.569066
0,0.590810,0.983510,1.105504,-2.890896,3,metal,30.360763,17.388591,39.777749
0,0.478631,0.983515,1.105282,-2.890896,3,metal,40.051331,26.494354,30.523961
0,0.387727,0.987022,1.105392,-2.890896,3,metal,50.986447,40.413365,25.046059
0,0.314147,0.987024,1.105277,-2.890896,3,metal,69.864723,61.561533,24.663038
0,7.388739,0.995403,1.905675,-4.198963,1,metal,6.354236,6.341403,16.173128
0,5.986297,0.995403,1.905678,-4.198963,1,metal,6.391647,6.341403,16.189177
0,4.849846,0.995403,1.905678,-4.198963,1,metal,6.444912,6.341403,15.601915
0,3.929143,0.995403,1.905678,-4.198963,1,metal,6.607908,6.341403,16.738214
0,3.183228,0.995403,1.905678,-4.198963,1,metal,6.829419,6.341403,14.471037
0,2.578956,0.995403,1.905678,-4.198963,1,metal,7.416289,6.341403,14.196381
0,2.089056,0.995403,1.905675,-4.198963,1,metal,7.623838,6.341403,14.605725
0,1.692665,0.995403,1.905677,-4.198963,1,metal,8.344826,6.341403,14.531023
0,1.371335,0.995403,1.905677,-4.198963,1,metal,9.876895,6.341403,13.140815
0,1.110966,0.985274,1.905763,-4.198963,2,metal,16.776827,6.325599,42.771373
0,0.900089,0.985275,1.905682,-4.198963,2,metal,23.748680,7.807813,28.508543
0,0.729290,0.981210,1.905813,-4.198963,3,metal,33.738907,11.881351,49.186625
0,0.590809,0.977604,1.905716,-4.198963,4,metal,46.529060,18.087609,59.452425
0,0.478630,0.974340,1.905681,-4.198963,5,metal,66.193052,27.537436,48.231337
0,0.387727,0.994473,0.670290,-4.198963,6,metal,67.678006,39.448915,76.438389
0,0.314137,0.971340,1.905726,-4.198963,6,metal,132.482329,63.879603,27.410701
0,0.254508,0.971341,1.905678,-4.198963,6,metal,179.701444,97.318587,26.608189
0,0.206192,0.971341,1.905678,-4.198963,6,metal,235.838181,148.271081,25.848169
0,0.167048,0.968553,1.905680,-4.198963,7,metal,336.648316,225.743812,55.668131
0,0.099697,0.994479,0.669883,-4.198963,7,metal,743.402260,596.646886,63.281129
0,7.388731,0.984736,3.010467,-3.323650,1,metal,6.484596,6.618870,14.983030
0,5.986300,0.984736,3.010392,-3.323650,1,metal,6.543795,6.618852,16.418194
0,4.849847,0.984736,3.010392,-3.323650,1,metal,6.622209,6.618852,28.318963
0,3.929142,0.984736,3.010392,-3.323650,1,metal,6.776247,6.618852,13.382537
0,3.183226,0.996165,1.233746,-3.323650,1,metal,6.372671,6.133998,47.310811
0,2.136991,0.984829,2.998704,-3.323650,1,metal,7.837403,6.616131,25.677995
0,2.086677,0.965874,3.010353,-3.323650,1,metal,8.437965,6.591345,28.729442
0,1.692660,0.948860,3.010447,-3.323650,2,metal,10.158167,6.566529,52.756922
0,1.371334,0.946751,2.640648,-3.323650,3,metal,12.667897,6.469455,74.532055
0,1.111001,0.946751,2.640647,-3.323650,3,metal,17.413941,6.469455,55.962250
0,0.900088,0.946751,2.640647,-3.323650,3,metal,24.348211,7.985411,39.864953
0,0.729216,0.946751,2.640647,-3.323650,3,metal,32.828081,12.166217,56.154718
0,0.590807,0.946770,2.640105,-3.323650,3,metal,42.602372,18.533998,37.398943
0,0.478630,0.921786,2.952187,-3.323650,4,metal,60.600831,28.427379,59.908032
0,0.387751,0.921848,2.950875,-3.323650,4,metal,80.705146,43.312610,24.736983
0,0.314146,0.921786,2.952176,-3.323650,4,metal,102.431565,65.989187,38.373101
0,0.254508,0.921786,2.952179,-3.323650,4,metal,133.211494,100.538616,42.026410
