,nstiff,mode,rho0,gamma,eig_CF,eig_FEA
0,3,global,7.266220471408048,2.9999999999947917,6.005930971444075,6.117734016703702
0,3,global,6.708658946263621,2.999999999997393,6.022164982971894,6.178559470474486
0,3,global,6.193880991414779,2.9999999999988165,6.065983708438218,6.1881150107556575
0,3,global,5.7186036796782505,2.999999999999524,6.000942982654684,6.250740731070828
0,3,global,5.279795993910436,2.9999999999998423,6.038126881797585,6.35336616687527
0,3,global,4.874659497103176,2.999999999999961,6.155260663040674,6.365590132112722
0,3,global,4.500610485728043,2.999999999999994,6.027906043962398,6.436603746468651
0,3,global,4.155263512515894,2.999999999980333,6.0034649596000484,6.585544331150341
0,3,global,3.836416173580834,2.999999999999846,6.081312937031241,6.775851028118355
0,3,global,3.5420350630129023,2.9999999981823247,6.263439000995608,6.793769677793123
0,3,global,3.2702428045259553,3.000000000040801,6.169719802981807,6.8758409380491825
0,3,global,3.019306079879085,2.9999999999207785,6.034167792717756,7.049619945577974
0,3,global,2.787624573731263,2.999999999999879,6.001689305776144,7.332676849723635
0,3,global,2.5737207684482786,2.9999999999998996,6.07145451238354,7.73591589813548
0,3,global,2.376230521269819,2.9999999999999454,6.245245922872948,8.270576537600384
0,3,global,2.1938943647016518,2.9999999999996327,6.5275039308786615,8.332008007639542
0,3,global,2.025549474424541,2.999999999999553,6.925440266017397,8.418915187601947
0,3,global,1.8701222535386155,2.999999999999626,6.641077979115862,8.611975114194026
0,3,global,1.726621485843462,2.9999999999997358,6.322953544628863,8.936100933642129
0,3,global,1.5941320144901032,2.999999999999838,6.115281147721605,9.412829138516827
0,3,global,1.4718089056912562,2.9999999999999116,6.012754731053727,10.052683233008244
0,3,global,1.3588720602250783,3.0000000011325163,6.0127547316880925,10.872552159678277
0,3,global,1.254601238661839,3.0000000005011533,6.1152811480692915,11.886381259458755
0,3,global,1.1583314677761154,3.0000000001457705,6.322953544752622,13.117713928746923
0,3,global,1.0694488000532665,3.0000000000035967,6.6410779791196255,14.578854734923324
0,3,global,0.9873863982321583,3.000000000099651,7.077782572885978,16.303452212828276
0,3,global,0.9116209203606201,3.0000000010409638,7.644225187530575,18.309601498773233
0,3,global,0.8416691824072041,2.9999999993860222,8.354878501689312,20.61166143720743
0,3,global,0.7770850764197339,2.9999999996115414,9.227899809076451,23.248506163203487
0,3,global,0.7174567260138827,2.99999999972357,10.28559491704107,26.21765603666824
0,3,global,0.6624038594006837,2.9999999998008993,11.554988076272503,29.55220896057365
0,3,global,0.611575384325935,2.999999999858182,13.068512450705322,33.22479517098694
0,3,global,0.5646471490247298,2.999999999900633,14.86483878925111,37.229725917241076
0,3,global,0.5213198749869148,2.9999999999314504,16.989863468585195,41.540611933447046
0,3,global,0.4813172483485884,2.999999999953199,19.497881151673297,46.042515581124576
0,3,global,0.44438415773757955,2.9999999999680407,22.452972023626682,50.65556922126418
0,3,global,0.4102850673349752,2.99999999997773,25.930639048947647,55.1580625022766
0,3,global,0.3788025147771075,2.9999999999836113,30.019737082305966,59.38682438802427
0,3,local,0.34973572431857364,2.99999999998661,34.82474312188232,63.145282239490896
0,3,local,0.3228993264119216,2.999999999987158,40.46842571055156,66.35879303200815
0,3,local,0.29812217553830833,2.9999999999848765,47.09498168845136,68.96318107628133
0,3,local,0.27524625875006187,2.9999999999768048,54.87372044132746,70.91516945707387
0,3,local,0.25412568802290253,2.9999999988083363,64.00338973142932,72.52487843953541
0,3,local,0.23462576964896548,2.999999998681544,74.71725389758674,73.92921853669797
0,3,local,0.2166221455713381,2.99999999854906,87.28905355797698,75.30607210134123
0,3,local,0.19999999999919796,3.0000000000129274,102.04000000112491,76.96831902471676
0,4,global,10.00000000000001,2.9999999999999485,6.000816326530587,6.025886744356834
0,4,global,9.232666380908432,2.9999999999999485,6.038967817392356,6.038257711322282
0,4,global,8.524212850115667,2.9999999999999627,6.000167638383449,6.058373407470552
0,4,global,7.870121340497046,2.999999999999976,6.04539764777705,6.081532917905102
0,4,global,7.266220471407697,2.9999999999999885,6.005930971446514,6.1052430667949515
0,4,global,6.708658946263437,2.9999999999999964,6.022164982973363,6.164956773626509
0,4,global,6.193880991414692,2.9999999999999996,6.065983708438691,6.174836160996055
0,4,global,5.718603679678286,2.999999999999706,6.000942982654774,6.2343801818540845
0,4,global,5.279795993911617,2.9999999999907163,6.0381268817921,6.35336616687527
0,4,global,4.874659497104678,2.999999999987965,6.155260663036824,6.348069956664787
0,4,global,4.500610485728526,2.9999999999959384,6.027906043960698,6.417526781941505
0,4,global,4.15526351276555,2.9999999977580574,6.003464958421679,6.56527370529027
0,4,global,3.836416173568579,3.0000000001151443,6.081312937106923,6.757418707472404
0,4,global,3.5420350628993145,2.9999999999999343,6.263439002394118,6.77362182969426
0,4,global,3.2702428044834737,3.000000000342483,6.1697198030640505,6.853637134560824
0,4,global,3.019306079772239,3.000000000977626,6.034167793144396,7.026148149797037
0,4,global,2.787624573731266,2.999999999999886,6.001689305776147,7.307328584097029
0,4,global,2.573720768448286,2.999999999999844,6.071454512383502,7.70812937647396
