,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
578,0.991127,1.371335,-2.417487,0.458830,9,metal,5.339902,1.534403,44.947668
579,0.991127,1.111003,-2.417487,0.458832,9,metal,5.411252,1.481256,50.906794
580,0.604142,7.388555,-4.113363,9.976863,2,metal,9.333123,2.058909,1442.617130
581,0.604391,5.985987,-4.113363,9.976561,2,metal,9.527885,2.072810,1728.613677
582,0.604143,4.849827,-4.113363,9.976861,2,metal,10.052532,2.082174,2893.891951
583,0.604098,3.929141,-4.113363,9.976914,2,metal,10.737875,2.068360,5822.676183
584,0.604090,3.183225,-4.113363,9.976924,2,metal,12.744523,2.088721,42438.097897
585,0.604394,2.578976,-4.113363,9.976558,3,metal,13.134184,2.248435,53409.783842
586,0.629825,1.709764,-4.113363,9.924954,3,metal,18.960612,2.069410,21664848.113338
587,0.604688,1.672422,-4.113363,9.976198,3,metal,19.602514,2.070736,41110679.852094
588,0.604145,1.371322,-4.113363,9.976859,3,metal,26.243915,2.188962,27985521712.306282
589,0.604143,1.110997,-4.113363,9.976861,3,metal,36.511572,2.427956,634346227158143.250000
590,0.604143,0.900086,-4.113363,9.976861,3,metal,49.943483,2.745188,314745257669428838400.000000
591,0.604144,0.729213,-4.113363,9.976859,3,metal,62.442326,3.108296,58673495610278305157087232.000000
592,0.972609,7.388722,-4.350661,6.388995,1,metal,8.401932,2.016583,593.091957
593,0.936923,5.986186,-4.350661,6.389011,1,metal,8.622077,2.003192,749.109743
594,0.936922,4.849827,-4.350661,6.389018,1,metal,9.109696,1.989872,1236.232235
595,0.936922,3.929143,-4.350661,6.389055,1,metal,9.290551,2.034428,1416.753177
596,0.936922,3.183228,-4.350661,6.389056,1,metal,10.385952,1.991146,4424.027459
597,0.936922,2.579088,-4.350661,6.389053,1,metal,11.292470,2.076961,10051.821670
598,0.936948,2.082589,-4.350661,6.387480,1,metal,12.176305,2.068679,24529.350611
599,0.936922,1.692661,-4.350661,6.389043,1,metal,14.515191,1.990327,275092.837024
600,0.902470,1.371340,-4.350661,6.389055,2,metal,19.108173,2.030076,26117007.002853
601,0.902470,1.111002,-4.350661,6.389056,2,metal,26.235951,2.200062,27457058669.849232
602,0.796743,0.900088,-4.350661,6.389056,5,metal,38.261250,2.444446,3589553795740600.000000
603,0.796743,0.729215,-4.350661,6.389061,5,metal,55.418381,2.773892,72981185496590760017920.000000
604,0.796743,0.590778,-4.350661,6.389059,5,metal,80.195176,3.140414,2913787034128406058180478962237440.000000
605,0.466344,0.478623,-4.350661,6.389055,7,metal,121.959382,3.509066,2768971077576379010122177319116519307464340234305536.000000
606,0.701246,0.387109,-4.350661,6.376627,7,metal,169.963251,3.927464,1283589316414682200197883809557538534592404947095052772918183881091317760.000000
607,0.589647,7.388927,-3.149317,5.891386,3,metal,6.797947,1.874684,137.450443
608,0.589640,5.986288,-3.149317,5.891386,3,metal,7.021038,1.871170,172.408682
609,0.589649,4.849746,-3.149317,5.891386,3,metal,7.310567,1.860919,232.676354
610,0.589642,3.929120,-3.149317,5.891386,3,metal,7.649716,1.920497,307.728943
611,0.590710,3.183225,-3.149317,5.253174,4,metal,7.877971,1.821821,426.729269
612,0.681027,1.777853,-3.149317,5.113913,4,metal,10.541596,1.865185,5862.965096
613,0.643856,1.728701,-3.149317,5.206294,4,metal,10.883266,1.848913,8386.285939
614,0.596586,1.663994,-3.149317,4.808088,5,metal,10.683689,1.801657,7201.406813
615,0.999802,1.371312,-3.149317,0.054941,9,metal,4.689675,1.490900,24.502495
616,0.999802,1.111003,-3.149317,0.054949,9,metal,4.425984,1.408204,20.445845
617,0.999802,0.900089,-3.149317,0.054948,9,metal,4.548020,1.413888,22.968687
618,0.999802,0.729213,-3.149317,0.054949,9,metal,5.063861,1.507464,35.036721
619,0.999802,0.464013,-3.149317,0.054883,9,metal,7.960687,1.962110,402.855205
620,0.999802,0.462830,-3.149317,0.054914,9,metal,7.987364,1.965496,412.348050
621,0.999802,0.387602,-3.149317,0.054910,9,metal,10.151711,2.216108,2795.044733
622,0.999802,0.314145,-3.149317,0.054948,9,metal,13.904466,2.548516,85472.523886
623,0.584553,7.388908,-3.827651,11.526171,1,metal,9.638147,2.110492,1858.742410
624,0.584533,5.986287,-3.827651,11.526171,1,metal,9.911277,2.115859,2429.444890
625,0.584531,4.849844,-3.827651,11.526171,1,metal,10.446052,2.148907,4012.399346
626,0.584506,3.929118,-3.827651,11.526171,1,metal,11.325377,2.113124,10019.139837
627,0.584492,3.183245,-3.827651,11.526171,1,metal,13.260955,2.157204,66419.826758
628,0.584530,2.578917,-3.827651,11.526171,1,metal,13.837370,2.272463,105335.581035
629,0.584528,2.089332,-3.827651,11.526171,1,metal,16.104557,2.128689,1173929.870178
630,0.725119,1.692616,-3.827651,7.138851,3,metal,14.761041,1.967955,359721.888715
631,0.725114,1.371340,-3.827651,7.138890,3,metal,19.530363,2.035839,39607284.684988
