,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
1073,0.556050,4.849822,-1.114721,3.010401,1,torayBT250E,4.645634,5.984407,0.776290
1074,0.556050,3.929135,-1.114721,3.010402,1,torayBT250E,4.656975,5.984407,0.778185
1075,0.556050,2.578923,-1.114721,3.010403,1,torayBT250E,5.158314,5.984407,0.861959
1076,0.556391,1.576890,-1.114721,2.973521,1,torayBT250E,5.428181,5.974435,0.908568
1077,0.534163,1.544865,-1.114721,2.978887,2,torayBT250E,6.313424,5.942530,1.062413
1078,0.510958,1.371297,-1.114721,3.010402,2,torayBT250E,5.994616,5.916690,1.013171
1079,0.510958,1.111001,-1.114721,3.010396,2,torayBT250E,6.653104,5.916689,1.124464
1080,0.550520,0.900087,-1.114721,1.715905,2,torayBT250E,7.636541,6.866116,1.112207
1081,1.361582,7.388569,-3.720108,4.535325,1,torayBT250E,7.465558,7.459512,1.000811
1082,1.382491,5.986160,-3.720108,2.864161,1,torayBT250E,7.189726,7.156919,1.004584
1083,1.361585,4.849840,-3.720108,4.535154,1,torayBT250E,7.727299,7.459484,1.035903
1084,1.382491,3.929163,-3.720108,2.864161,1,torayBT250E,7.464411,7.156919,1.042964
1085,1.330059,3.183283,-3.720108,3.877107,1,torayBT250E,8.527039,7.293368,1.169150
1086,1.330059,2.579036,-3.720108,3.877104,1,torayBT250E,8.932372,7.293368,1.224725
1087,1.257838,2.089353,-3.720108,4.505832,2,torayBT250E,10.538942,7.316742,1.440387
1088,1.258849,1.692451,-3.720108,4.488751,2,torayBT250E,13.212061,7.314887,1.806188
1089,1.203955,1.371330,-3.720108,4.534723,3,torayBT250E,18.192266,7.250472,2.509115
1090,1.203927,1.111002,-3.720108,4.535037,3,torayBT250E,25.782511,7.250494,3.555966
1091,1.203954,0.900087,-3.720108,4.534735,3,torayBT250E,35.613770,8.949470,3.979428
1092,1.149205,0.729213,-3.720108,4.535057,4,torayBT250E,48.328544,13.497756,3.580487
1093,1.088052,0.590778,-3.720108,4.535052,5,torayBT250E,66.799992,20.329948,3.285793
1094,1.088094,0.478628,-3.720108,4.534827,5,torayBT250E,91.442611,30.973398,2.952295
1095,1.011570,0.387764,-3.720108,4.535045,6,torayBT250E,123.910373,46.505674,2.664414
1096,1.011593,0.314146,-3.720108,4.534972,6,torayBT250E,160.463876,70.856641,2.264627
1097,1.011589,0.254508,-3.720108,4.534986,6,torayBT250E,195.290560,107.954131,1.809014
1098,1.011587,0.206192,-3.720108,4.534993,6,torayBT250E,243.688658,164.474762,1.481617
1099,0.892714,0.167048,-3.720108,4.505075,7,torayBT250E,304.971836,244.603309,1.246802
1100,0.832965,0.135335,-3.720108,4.308447,8,torayBT250E,386.652265,365.929657,1.056630
1101,0.199906,5.986300,-2.427168,6.639466,1,victrexAE,4.896333,6.360566,0.769795
1102,0.207876,4.849871,-2.427168,5.168193,2,victrexAE,4.824136,6.050163,0.797356
1103,0.207874,3.929191,-2.427168,5.168193,2,victrexAE,4.905771,6.050160,0.810850
1104,0.209943,3.158590,-2.427168,5.167649,2,victrexAE,5.115474,6.052754,0.845148
1105,0.207882,2.578875,-2.427168,5.168193,2,victrexAE,5.393812,6.050170,0.891514
1106,0.212716,2.089325,-2.427168,4.404479,3,victrexAE,5.531537,5.867899,0.942678
1107,0.210912,1.692670,-2.427168,2.999759,8,victrexAE,5.639176,5.460531,1.032716
1108,0.352097,7.389053,-3.374806,9.543960,1,solvayMTM45,6.857495,7.049234,0.972800
1109,0.352096,5.986302,-3.374806,9.543967,1,solvayMTM45,6.952227,7.049234,0.986239
1110,0.319079,4.849862,-3.374806,7.509592,2,solvayMTM45,6.767729,6.671647,1.014402
1111,0.319078,3.929148,-3.374806,7.509592,2,solvayMTM45,7.134446,6.671647,1.069368
1112,0.319070,3.183303,-3.374806,7.509592,2,solvayMTM45,7.724372,6.671637,1.157793
1113,0.319095,2.578816,-3.374806,7.509592,2,solvayMTM45,8.228313,6.671667,1.233322
