,rho_0,xi,gamma,log10(zeta),eig_FEA
315,0.478633,0.999891,0.105165,-2.794234,29.723028
316,0.387759,0.999891,0.105164,-2.794234,42.213147
317,0.314147,0.999891,0.105170,-2.794234,59.007309
318,0.254508,0.999891,0.105141,-2.794234,83.818566
319,0.206192,0.999891,0.105166,-2.794234,138.877728
320,0.167048,0.999891,0.105170,-2.794234,167.952493
321,7.388740,0.999506,0.525141,-4.674602,5.987341
322,5.986295,0.999506,0.525339,-4.674602,5.981683
323,4.849848,0.999506,0.525346,-4.674602,6.022961
324,3.929144,0.999506,0.525339,-4.674602,6.165611
325,3.183243,0.999506,0.525306,-4.674602,6.254336
326,2.578923,0.999506,0.525340,-4.674602,6.626283
327,2.089081,0.999506,0.525302,-4.674602,6.984002
328,1.692587,0.999506,0.525141,-4.674602,7.376450
329,1.371311,0.999506,0.525146,-4.674602,8.337736
330,1.111003,0.999506,0.525339,-4.674602,10.198949
331,0.900088,0.999506,0.525346,-4.674602,13.481296
332,0.729229,0.999506,0.525146,-4.674602,19.040176
333,0.590812,0.999506,0.525141,-4.674602,27.609360
334,0.478678,0.999506,0.525303,-4.674602,38.954137
335,0.387759,0.999506,0.525340,-4.674602,90.403487
336,0.314146,0.997681,0.525347,-4.674602,94.542994
337,0.254508,0.997361,0.525346,-4.674602,136.335160
338,0.206192,0.997361,0.525347,-4.674602,194.286510
339,0.167048,0.996805,0.525347,-4.674602,285.398155
340,7.389043,0.997652,1.105271,-3.908294,6.018222
341,5.986202,0.997652,1.105260,-3.908294,6.039608
342,4.849848,0.997652,1.105272,-3.908294,6.102586
343,3.929150,0.997652,1.105269,-3.908294,6.290655
344,3.183228,0.997652,1.105271,-3.908294,6.404952
345,2.578956,0.997652,1.105270,-3.908294,6.888433
346,2.089279,0.997652,1.105271,-3.908294,7.182143
347,1.692681,0.997652,1.105271,-3.908294,7.688735
348,1.371335,0.997652,1.105269,-3.908294,8.872272
349,1.111003,0.997652,1.105271,-3.908294,11.052504
350,0.900088,0.997652,1.105271,-3.908294,14.893795
351,0.729214,0.990578,1.105272,-3.908294,27.552624
352,0.590778,0.990578,1.105272,-3.908294,38.063831
353,0.478632,0.987245,1.105273,-3.908294,54.399092
354,0.387753,0.987245,1.105276,-3.908294,77.510723
355,0.314138,0.987244,1.105294,-3.908294,110.694032
356,0.254508,0.987245,1.105272,-3.908294,154.549960
357,0.206192,0.987245,1.105272,-3.908294,220.462412
358,0.135341,0.988820,1.105292,-3.908294,473.071564
359,7.388735,0.989055,1.905670,-2.644607,6.051629
360,5.986200,0.989055,1.905672,-2.644607,6.075361
361,4.849847,0.989055,1.905678,-2.644607,6.137006
362,3.929142,0.989055,1.905678,-2.644607,6.313874
363,3.183314,0.989055,1.905673,-2.644607,6.448517
364,2.578916,0.989055,1.905678,-2.644607,6.975969
365,2.089009,0.989055,1.905671,-2.644607,7.214099
366,1.692684,0.989055,1.905678,-2.644607,7.767972
367,1.371340,0.989055,1.905678,-2.644607,8.959795
368,1.111001,0.964166,1.905681,-2.644607,13.150725
369,0.900088,0.964166,1.905678,-2.644607,17.799351
370,0.729285,0.953812,1.905809,-2.644607,24.947334
371,0.590808,0.953816,1.905710,-2.644607,33.691143
372,0.478656,0.964166,1.905691,-2.644607,43.440364
373,7.388723,0.973911,3.010292,-2.386439,6.188725
374,5.986300,0.973909,3.010391,-2.386439,6.223069
375,4.849846,0.973909,3.010388,-2.386439,6.283818
376,3.929142,0.973909,3.010391,-2.386439,6.440377
377,3.183242,0.973910,3.010374,-2.386439,6.655210
378,2.579109,0.973911,3.010306,-2.386439,7.154902
379,2.079239,0.940131,3.008909,-2.386439,7.701859
380,1.692569,0.940084,3.010302,-2.386439,8.701096
381,1.371304,0.907553,3.010317,-2.386439,10.736767
382,1.111003,0.907549,3.010391,-2.386439,13.712359
383,0.900088,0.907549,3.010391,-2.386439,18.132817
384,0.729214,0.940081,3.010389,-2.386439,21.765252
385,7.388729,0.982797,1.999346,-1.965385,5.661731
386,5.986198,0.982797,1.999346,-1.965385,5.676599
387,4.849833,0.982797,1.999346,-1.965385,5.729629
388,3.929179,0.982797,1.999346,-1.965385,5.881747
389,3.183313,0.982797,1.999346,-1.965385,5.984235
390,2.084196,0.936009,4.450681,-1.965385,7.116629
391,2.080285,0.933940,4.533335,-1.965385,7.133310
392,1.692567,0.933893,4.535195,-1.965385,7.678290
393,1.371307,0.933892,4.535212,-1.965385,8.677798
394,1.110995,0.317080,4.535158,-1.965385,14.498604
395,0.900086,0.317076,4.535124,-1.965385,13.583822
396,0.729213,0.595853,4.405151,-1.965385,17.358832
397,7.388718,0.967998,6.639375,-4.191537,7.378687
398,5.986182,0.925424,6.639401,-4.191537,7.638446
399,4.849824,0.925424,6.639410,-4.191537,7.780056
400,3.929142,0.925422,6.639510,-4.191537,8.226157
401,3.183240,0.925422,6.639494,-4.191537,8.821716
402,2.578947,0.925422,6.639498,-4.191537,9.465555
403,2.089372,0.882995,6.639530,-4.191537,11.434360
404,1.692544,0.883002,6.639327,-4.191537,15.034229
405,1.371302,0.882999,6.639388,-4.191537,21.086686
406,1.111002,0.839314,6.639505,-4.191537,30.870424
407,0.900088,0.791334,6.639505,-4.191537,43.151832
408,0.729214,0.732399,6.639485,-4.191537,61.009281
409,0.590778,0.732395,6.639509,-4.191537,87.257061
410,0.478623,0.617942,6.639518,-4.191537,125.871078
411,0.387775,0.587438,6.271331,-4.191537,174.443554
412,0.314139,0.588044,5.956790,-4.191537,241.524502
413,0.206192,0.587993,5.956790,-4.191537,403.977520
414,7.388887,0.720754,6.442609,-2.458343,6.708365
415,5.986094,0.720800,6.442315,-2.458343,6.828659
416,4.849785,0.720800,6.442314,-2.458343,6.947777
417,3.929142,0.720754,6.442609,-2.458343,7.138002
418,3.183246,0.594007,4.529144,-2.458343,7.032415
419,2.148528,0.995307,0.366225,-2.458343,6.487477
420,2.089027,0.995306,0.366254,-2.458343,6.521804
421,1.692666,0.995306,0.366254,-2.458343,6.911123
422,1.371335,0.995306,0.366254,-2.458343,7.726500
423,1.995519,0.858162,3.289595,-2.026520,7.312057
424,1.995091,0.858297,3.288103,-2.026520,7.312420
425,1.995394,0.858166,3.289551,-2.026520,7.312254
426,1.995238,0.858159,3.289628,-2.026520,7.312531
427,1.994040,0.858290,3.288187,-2.026520,7.314186
428,0.429965,0.858405,3.286921,-2.026520,38.652320
429,0.429954,0.858395,3.287029,-2.026520,38.653659
430,0.429977,0.858220,3.288951,-2.026520,38.650961
431,0.429915,0.858160,3.289608,-2.026520,38.658538
